,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,台北美食面對面｜來自馬來西亞風味小吃台北1號店新開幕,面對面 Face to Face Noodle House,4.5,中山區,2019/04/07,4884,361,10,4人來過,2篇食記
第二名,Baba Kevin BBQ 近行天宮的最強美式烤肉餐廳！,爸爸Kevin美食BBQ,4.8,中山區,2019/04/19,3661,322,11,9人來過,3篇食記
第三名,行天宮美食，巷弄中的秒殺甜點，口味超多超平價的泡芙．諾緯手工鮮奶泡芙,諾緯手工鮮奶泡芙店,4,中山區,2019/04/16,3320,340,14,10人來過,2篇食記
第四名,余文樂從小吃到大！香港來的超人氣美食～開幕每天都大排長龍不吃不行的「華嫂冰室」（菜單）｜Fattie & Chubbie,華嫂冰室,4,大安區,2019/04/04,5009,244,6,12人來過,8篇食記
第五名,烏石水產火鍋超市(烤)-金鋒滷肉飯、咖哩飯吃到飽！小蒙牛餐飲集團新推出！低消 $250 換湯頭也可抵！內有幾家超市火鍋小比較,烏石水產火鍋超市(烤)-三創店,5,中山區,2019/04/05,5339,192,8,3人來過,2篇食記
第六名,台北 mumi cafe｜咖啡館裡我們一起烤吐司。,mumi cafe,無紀錄,大安區,2019/04/12,2486,226,5,6人來過,4篇食記
第七名,流水蝦正夯，吃泰國蝦吃到厭世！10米水道流水泰國蝦無限吃到飽！泰蝦PA水道泰國蝦吃到飽,流水蝦-泰蝦PA水道泰國蝦吃到飽,4.6,林口區,2019/04/22,3694,180,10,4人來過,2篇食記
第八名,死忠追隨ㄟ高CP值廚藝競賽冠軍泰式家鄉料理食堂 - Lisa 泰式美食｜民權西路站,Lisa泰式美食,4.4,大同區,2019/04/14,3104,230,9,12人來過,5篇食記
第九名,普里鹹油條，來自埔里的特色早餐，僅販售早餐、消夜時段,普里鹹油條 台北總部,4.7,中正區,2019/04/03,3022,208,8,8人來過,3篇食記
第十名,一個人也能吃的泰式料理，限量供應CNN評選世界50大美食第一名的巴東牛肉飯．Pretty Thai 泰之霸,Pretty Thai 泰之霸,4.6,大安區,2019/04/23,3518,252,7,4人來過,2篇食記
第十一名,日本超人氣鰻魚飯台灣首發店，不用出國就能吃到道地京都鰻魚飯！江戶川鰻魚飯-台灣一號店,近鐵餐飲 鰻 江戶川,3.9,中山區,2019/04/19,2724,209,10,13人來過,10篇食記
第十二名,捷運國父紀念館美食推薦|拿走雞蛋糕 巷子內的精品雞蛋糕不吃可惜,拿走雞蛋糕,無紀錄,大安區,2019/04/17,2784,208,7,1人來過,1篇食記
第十三名,台北京站 燒肉LIKE 一人燒肉店，單身也能輕鬆吃烤肉 ,焼肉ライク 燒肉LIKE,無紀錄,大同區,2019/04/25,2420,194,6,8人來過,5篇食記
第十四名,必吃隱藏版甜點，高CP無低消不限時韓式裱花蛋糕!!花甜居烘焙,花甜居烘焙,4.9,中正區,2019/04/05,2223,190,6,1人來過,1篇食記
第十五名,中永和排隊早餐名店，上班遲到都要買！超豐滿爆料三明治！EVERYDAY CAFE-永和頂溪店,EVERYDAY CAFE肉蛋吐司,4.4,永和區,2019/04/06,2979,151,4,6人來過,3篇食記
第十六名,南京復興站美食，兄弟飯店的壽司飯丸專賣店，超過20餘種的飯糰選擇,壽司飯丸專賣店 - 兄弟大飯店,4.1,松山區,2019/04/15,2187,187,6,3人來過,1篇食記
第十七名,男子漢開的早餐店，漢堡霸氣夾入雙肉排外還下麵給你吃！男子漢早餐店,男子漢早餐店,4.9,板橋區,2019/04/09,2644,149,6,1人來過,1篇食記
第十八名,光華商場美食推薦|喬喜蛋炒飯專賣店 炒飯好吃且種類超多(價錢菜單),喬喜蛋炒飯專賣店,3.7,中正區,2019/04/18,2154,171,4,4人來過,2篇食記
第十九名,TAEBAK大發，發現平價韓國炸雞飯/韓國料理/小菜免費續加,TaeBak 韓式特色料理 南京店,4.2,中山區,2019/04/08。,2403,158,6,9人來過,5篇食記
第二十名,N 訪健康與美味兼顧 吃一口就愛上ㄟ高 CP 值澳式風情咖啡館 - Caffe' Rue 路口咖啡｜芝山站,Caffe’ Rue 路口加啡,4.8,士林區,2019/04/01,2285,159,7,8人來過,5篇食記
