,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,台北美食面對面｜來自馬來西亞風味小吃台北1號店新開幕,Baba Kevin BBQ 近行天宮的最強美式烤肉餐廳！,行天宮美食，巷弄中的秒殺甜點，口味超多超平價的泡芙．諾緯手工鮮奶泡芙,余文樂從小吃到大！香港來的超人氣美食～開幕每天都大排長龍不吃不行的「華嫂冰室」（菜單）｜Fattie & Chubbie,烏石水產火鍋超市(烤)-金鋒滷肉飯、咖哩飯吃到飽！小蒙牛餐飲集團新推出！低消 $250 換湯頭也可抵！內有幾家超市火鍋小比較,台北 mumi cafe｜咖啡館裡我們一起烤吐司。,流水蝦正夯，吃泰國蝦吃到厭世！10米水道流水泰國蝦無限吃到飽！泰蝦PA水道泰國蝦吃到飽,死忠追隨ㄟ高CP值廚藝競賽冠軍泰式家鄉料理食堂 - Lisa 泰式美食｜民權西路站,普里鹹油條，來自埔里的特色早餐，僅販售早餐、消夜時段,一個人也能吃的泰式料理，限量供應CNN評選世界50大美食第一名的巴東牛肉飯．Pretty Thai 泰之霸,日本超人氣鰻魚飯台灣首發店，不用出國就能吃到道地京都鰻魚飯！江戶川鰻魚飯-台灣一號店,捷運國父紀念館美食推薦|拿走雞蛋糕 巷子內的精品雞蛋糕不吃可惜,台北京站 燒肉LIKE 一人燒肉店，單身也能輕鬆吃烤肉 ,必吃隱藏版甜點，高CP無低消不限時韓式裱花蛋糕!!花甜居烘焙,中永和排隊早餐名店，上班遲到都要買！超豐滿爆料三明治！EVERYDAY CAFE-永和頂溪店,南京復興站美食，兄弟飯店的壽司飯丸專賣店，超過20餘種的飯糰選擇,男子漢開的早餐店，漢堡霸氣夾入雙肉排外還下麵給你吃！男子漢早餐店,光華商場美食推薦|喬喜蛋炒飯專賣店 炒飯好吃且種類超多(價錢菜單),TAEBAK大發，發現平價韓國炸雞飯/韓國料理/小菜免費續加,N 訪健康與美味兼顧 吃一口就愛上ㄟ高 CP 值澳式風情咖啡館 - Caffe' Rue 路口咖啡｜芝山站
餐廳名稱,面對面 Face to Face Noodle House,爸爸Kevin美食BBQ,諾緯手工鮮奶泡芙店,華嫂冰室,烏石水產火鍋超市(烤)-三創店,mumi cafe,流水蝦-泰蝦PA水道泰國蝦吃到飽,Lisa泰式美食,普里鹹油條 台北總部,Pretty Thai 泰之霸,近鐵餐飲 鰻 江戶川,拿走雞蛋糕,焼肉ライク 燒肉LIKE,花甜居烘焙,EVERYDAY CAFE肉蛋吐司,壽司飯丸專賣店 - 兄弟大飯店,男子漢早餐店,喬喜蛋炒飯專賣店,TaeBak 韓式特色料理 南京店,Caffe’ Rue 路口加啡
評級,4.5,4.8,4,4,5,無紀錄,4.6,4.4,4.7,4.6,3.9,無紀錄,無紀錄,4.9,4.4,4.1,4.9,3.7,4.2,4.8
美食所在區域,中山區,中山區,中山區,大安區,中山區,大安區,林口區,大同區,中正區,大安區,中山區,大安區,大同區,中正區,永和區,松山區,板橋區,中正區,中山區,士林區
產生日期,2019/04/07,2019/04/19,2019/04/16,2019/04/04,2019/04/05,2019/04/12,2019/04/22,2019/04/14,2019/04/03,2019/04/23,2019/04/19,2019/04/17,2019/04/25,2019/04/05,2019/04/06,2019/04/15,2019/04/09,2019/04/18,2019/04/08。,2019/04/01
觀看人數,4884,3661,3320,5009,5339,2486,3694,3104,3022,3518,2724,2784,2420,2223,2979,2187,2644,2154,2403,2285
收藏人數,361,322,340,244,192,226,180,230,208,252,209,208,194,190,151,187,149,171,158,159
推薦人數,10,11,14,6,8,5,10,9,8,7,10,7,6,6,4,6,6,4,6,7
多少人來過,4人來過,9人來過,10人來過,12人來過,3人來過,6人來過,4人來過,12人來過,8人來過,4人來過,13人來過,1人來過,8人來過,1人來過,6人來過,3人來過,1人來過,4人來過,9人來過,8人來過
多少篇食記,2篇食記,3篇食記,2篇食記,8篇食記,2篇食記,4篇食記,2篇食記,5篇食記,3篇食記,2篇食記,10篇食記,1篇食記,5篇食記,1篇食記,3篇食記,1篇食記,1篇食記,2篇食記,5篇食記,5篇食記
