,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,行天宮美食，巷弄中的秒殺甜點，口味超多超平價的泡芙．諾緯手工鮮奶泡芙,諾緯手工鮮奶泡芙店,4,中山區,2019/04/16,3321,340,14,10人來過,2篇食記
第二名,Baba Kevin BBQ 近行天宮的最強美式烤肉餐廳！,爸爸Kevin美食BBQ,4.8,中山區,2019/04/19,3662,322,11,9人來過,3篇食記
第三名,死忠追隨ㄟ高CP值廚藝競賽冠軍泰式家鄉料理食堂 - Lisa 泰式美食｜民權西路站,Lisa泰式美食,4.4,大同區,2019/04/14,3104,230,9,12人來過,5篇食記
第四名,捷運國父紀念館美食推薦|拿走雞蛋糕 巷子內的精品雞蛋糕不吃可惜,拿走雞蛋糕,無紀錄,大安區,2019/04/17,2784,208,7,1人來過,1篇食記
第五名,日本超人氣鰻魚飯台灣首發店，不用出國就能吃到道地京都鰻魚飯！江戶川鰻魚飯-台灣一號店,近鐵餐飲 鰻 江戶川,3.9,中山區,2019/04/19,2724,209,10,13人來過,10篇食記
第六名,南京復興站美食，兄弟飯店的壽司飯丸專賣店，超過20餘種的飯糰選擇,壽司飯丸專賣店 - 兄弟大飯店,4.1,松山區,2019/04/15,2188,187,6,3人來過,1篇食記
第七名,光華商場美食推薦|喬喜蛋炒飯專賣店 炒飯好吃且種類超多(價錢菜單),喬喜蛋炒飯專賣店,3.7,中正區,2019/04/18,2154,171,4,4人來過,2篇食記
第八名,維記茶餐廳 台灣第一家茶餐廳 招牌乾隆蜜汁花雕雞超下飯 道地香港味,維記茶餐廳 (原維多利亞茶餐廳),3.6,萬華區,2019/04/13,2633,104,7,43人來過,30篇食記
第九名,王品新餐廳 丰禾日麗台式小館 復刻台菜料理 南京東路聚餐推薦 母親節 包廂餐廳,丰禾日麗 台北南京東店,4.6,中山區,2019/04/17,1869,125,8,8人來過,4篇食記
第十名,新菜單！餐點超意外高水平！浮誇系調酒每人獨一無二～服務超好毫無拘束「昨天Bistro & Flavor」 F&C 美食日記,昨天 Bistro & Flavor,4.7,大安區,2019/04/14,1958,143,4,4人來過,2篇食記
第十一名,凱薩西餐牛排｜豐盛美味自助吧｜一週只賣三天,凱薩西餐牛排長安總店,4.1,中山區,2019/04/16,1771,99,3,20人來過,9篇食記
第十二名,福來舖。 一人獨享麻辣鍋 自製辣油的麻香滋味讓你停不下來。草原上的夕陽 吃個紅油炒手也能這麼文青。芝山美食推薦/天母麻辣鍋推薦 ,福來舖 麻辣個人鍋,4.7,士林區,2019/04/15,1662,123,3,8人來過,6篇食記
第十三名,"【新北  玖佰號】火鍋烤豬五花專門店。200元五花吃到翻過去,飲料無限供應,不收服務費",玖佰號,4.1,萬華區,2019/04/16,1124,100,3,32人來過,8篇食記
第十四名,韓記老虎麵食館 邰哥邰智源推薦！東門永康街好吃麻辣麵，私心更愛蔥油餅,韓記老虎麵食館,4.2,大安區,2019/04/17,1344,121,4,45人來過,14篇食記
第十五名,各種扯三明治～肉品皆為低溫烹調，享受舒肥完整營養和口感！歡迎外帶，也有外送服務！東區三明治早午餐,各種扯三明治,4.8,大安區,2019/04/13,1431,85,0,3人來過,3篇食記
第十六名,FELICITA義食間 平價義式/有裝潢/鋼琴演奏,FELICITA 義食間,4.6,松山區,2019/04/13,1080,98,0,9人來過,1篇食記
第十七名,南京復興美食 窩巢雞蛋糕-牽絲雞蛋糕！雞蛋盒裝太可愛！(附窩巢雞蛋糕MENU),窩巢雞蛋糕-牽絲雞蛋糕,無紀錄,中山區,2019/04/16,1051,106,0,1人來過,1篇食記
第十八名,二月半そば | 像來到日本的道地蕎麥麵專賣店,二月半そば,4.3,中山區,2019/04/13,1245,98,2,56人來過,12篇食記
第十九名,鹿境早午餐 Arrival Brunch & Cafe｜用大份量豐盛早午餐開啟美好早晨，喝杯brunchtail微醺片刻,鹿境早午餐 Arrival Brunch & Cafe,4.9,松山區,2019/04/15,1102,79,1,7人來過,6篇食記
第二十名,阿淑小吃｜現點現炒肉絲飯、豐富配料的大碗什錦湯｜台北士林區・捷運劍潭站,阿淑小吃,無紀錄,士林區,2019/04/14,1319,59,4,無紀錄,無紀錄
