,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,王品集團最新品牌！懷舊料理說歷史，經典台菜大集合！丰禾日麗台式小館,原創花雕雞 一鍋三種吃法 酒香味濃 真材實料 熱炒也很好吃 喜愛重口味的好選擇,Lady nara 台北統一時代店，全球海外首店開幕嘍！信義區新網美餐廳,台北中山 川渝小吃坊 重慶酸辣粉+口水雞開胃爽口 ,台北美食mumi cafe｜約姐妹一起來烤吐司的韓系咖啡館,"黃亞細肉骨茶台灣二號店~新加坡正宗肉骨茶名店,白胡椒湯頭香郁,潮州特色滷水美味！",台北小旺仔宜蘭蛋餅｜新口感！鋪了滿滿好料的香酥宜蘭蛋餅(景美夜市人氣美食),浮誇又霸氣的料理/超平價無菜單竟然有鮮甜海膽 「東街日本料理」南京復興站/高cp值無菜單料理/生魚片/牛小排/石斑/比目魚/大明蝦/附菜單,噴汁雞腿可外送，99元大份量漢堡就在IA Captain 國際機長,BFF Gossip Brunch-台北公館網美最愛餐廳，姊妹聚會最佳選擇,烏石水產火鍋超市 自助吧吃到飽59元！火烤兩吃滿額再送哈根達斯冰淇淋, 漂丿燒肉食堂～肉多到你喊怕！豐盛雙拼與震撼戰斧丼飯，還有超值商業午餐,樂越phofun 越式河粉專門，吃一口就被圈粉的超澎湃道地河粉，還可以隨自己喜好加油添醋,福來舖～30餘種中藥材層層調製低溫拌炒，加上大骨燉煮出香醇濃郁、麻而不辣的絕頂湯底！芝山美食推薦/天母麻辣鍋推薦,【新北  港龘港式飲茶】歐式自助百匯(泰山店)。平日中午365元吃到飽/附設停車場,波記香港茶餐廳｜16年老店屹立不搖~老店新開重現經典港式美味｜東區必訪港式茶餐廳,台北中山-良粟商號 好吃炭燒肉蛋吐司、雞腿排蛋、菇菇蛋，連日本觀光客都愛！,兩餐두끼 韓國年糕火鍋吃到飽│忠孝復興站,Sugar Pea|火紅IG夢幻雪白玻璃屋/出乎意料的美味早午餐下午茶！,台北泰式料理推薦，泰新潮！泰式法國麵包、熱壓吐司！？泰式料理新吃法！泰之霸Pretty Thai
餐廳名稱,丰禾日麗 台北南京東店,原創花雕雞,Lady nara 台北統一時代店,川渝小吃坊,mumi cafe,黃亞細肉骨茶,小旺仔宜蘭蛋餅,東街日本料理,IA Captain國際機長,#BFF Gossip Brunch 早午餐,烏石水產火鍋超市(烤)-三創店,漂丿燒肉食堂,樂越PhoFun台北慶城街1號店,福來舖 麻辣個人鍋,港龘港式飲茶歐式自助百匯 泰山店,波記茶餐廳,良粟 朝食午膳,兩餐韓國年糕火鍋-忠孝店,Sugar Pea,Pretty Thai 泰之霸
評級,4.6,4.2,4,4.4,無紀錄,無紀錄,4.4,4.2,3.9,4.1,5,4.1,4.6,4.7,3.7,3.8,3.9,3.6,4.4,4.6
美食所在區域,中山區,松山區,信義區,大同區,大安區,中山區,文山區,中山區,松山區,中正區,中山區,大安區,松山區,士林區,泰山區,大安區,中山區,大安區,大安區,大安區
產生日期,2019/05/01,2019/04/29,2019/04/30,2019/04/30,2019/04/28,2019/04/27,2019/04/30,2019/05/03,2019/04/27,2019/05/01,2019/05/02,2019/04/30,2019/05/01,2019/04/29,2019/05/01,2019/04/30,2019/04/30,2019/04/28,2019/04/27,2019/04/29
觀看人數,1577,1776,1505,893,898,1835,1670,1340,1130,997,1097,884,891,1175,786,811,627,605,807,758
收藏人數,87,91,70,92,63,51,55,60,66,74,43,57,67,51,43,54,59,31,57,50
推薦人數,3,2,6,5,1,2,1,3,13,6,1,4,0,3,3,1,2,2,2,1
多少人來過,9人來過,12人來過,6人來過,10人來過,6人來過,5人來過,2人來過,29人來過,53人來過,4人來過,3人來過,67人來過,1人來過,8人來過,1人來過,44人來過,35人來過,14人來過,23人來過,4人來過
多少篇食記,5篇食記,12篇食記,4篇食記,5篇食記,4篇食記,4篇食記,2篇食記,22篇食記,15篇食記,3篇食記,2篇食記,38篇食記,1篇食記,6篇食記,1篇食記,20篇食記,14篇食記,7篇食記,12篇食記,2篇食記
