,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,公館美食推薦，把厭世情緒都留在這裡吧！用美食美酒療癒身心！厭世會社The Misanthrope Society,The Misanthrope Society 厭世會社,5,中正區,2019/03/21,13861,588,36,1人來過,1篇食記
第二名,埔里知名鹹油條在台北開店囉！油條也能夾入料，立馬變身台式潛艇堡．普里鹹油條,普里鹹油條 台北總部,4.7,中正區,2019/03/12,4496,242,5,7人來過,3篇食記
第三名,WOO Taiwan 大直Att美食 泰國觀光局推薦為此生必去十大名店 網美聚餐 泰國宮廷風 花園餐廳,WOO Taiwan,0,中山區,2019/03/01,3767,309,8,6人來過,3篇食記
第四名,手工現包整顆蝦仁皮薄晶透，蒸餃與外省麵必吃!!亓家蒸餃,亓家蒸餃,4.3,松山區,2019/03/20,4529,312,15,57人來過,16篇食記
第五名,粱記雞肉飯．據說台北最好吃、怎麼吃都吃不膩的雞肉飯！,梁記嘉義雞肉飯,3.6,中山區,2019/03/02,5210,324,17,104人來過,21篇食記
第六名,王品旗下 一鴨三吃不花大錢 桌邊片鴨秀 台北東區美食-享鴨-烤鴨與中華料理 含菜單！,享鴨 烤鴨與中華料理,4.7,大安區,2019/03/10,4728,263,12,16人來過,14篇食記
第七名,濟善老麵 艋舺大道巷弄美食推薦，一碗雞湯拉麵吃進萬華人情風華,濟善老麵,4.3,萬華區,2019/03/11,3209,291,11,2人來過,2篇食記
第八名,盈 豚骨カレー咖哩飯專門｜台北大安區｜從熬煮豚骨高湯開始製作的真咖哩,盈 豚骨カレ,5,大安區,2019/03/01,3190,272,5,4人來過,3篇食記
第九名,艋舺螺獅粉＿網路上好評不斷＿品嚐後絕對不會失望,柳州螺螄粉,3.9,萬華區,2019/03/08,3299,252,12,33人來過,18篇食記
第十名,北大行小籠包 信義區平價小吃推薦，原盅雞湯、上海點心非常好吃,北大行小籠包,4.2,信義區,2019/03/16,3218,250,5,1人來過,1篇食記
第十一名,東輝韓食館 馬鈴薯豬骨湯名店！食尚玩家推薦行天宮巷弄韓式料理,東輝韓食館,3.8,中山區,2019/03/09,3316,250,5,39人來過,18篇食記
第十二名,中山站美食 米滋崎-ㄉㄨㄞ到爆的楓糖布丁乳酪！童年回憶啊！　中山站甜點/台北伴手禮,無紀錄,無紀錄,中山區,2019/03/20,2559,268,9,無紀錄,無紀錄
第十三名,南港無名牛排│低調隱藏版牛排，搬家後吃貨照樣追著跑！ 南港玉成街牛排、後山埤牛排,無名牛排,4.6,南港區,2019/03/12,3340,231,7,1人來過,1篇食記
第十四名,台北大安-秦家餅店-傳統北方烙餅，三代傳承的好味道 ,秦家餅店,4.1,大安區,2019/03/23,4212,297,5,3人來過,3篇食記
第十五名,海鮮粥專賣店居然藏這味？！鮮蚵魯肉飯加半熟蛋，超邪惡爆棚美食．好吃食堂,好吃食堂-海鮮粥專賣店,4.4,松山區,2019/03/29,4611,251,15,5人來過,3篇食記
第十六名," 華嫂冰室台北店｜港星最愛茶餐廳強勢登台,台北東區試營運中(國父紀念館捷運站週邊)",華嫂冰室,4,大安區,2019/03/20,3135,201,7,12人來過,8篇食記
第十七名,燒肉吃到飽 馬太郎焼肉 中山站美食 啤酒暢飲 激推：純和牛漢堡排、厚切紐約客牛排、日本A5和牛 讀者免費贈送牛舌,馬太郎燒肉,3.4,中山區,2019/03/10,2639,185,4,24人來過,19篇食記
第十八名,東區凱帝蛋糕 食芋堂-芋頭泡芙、芋泥派、草莓泡芙｜東區芋頭甜點、芋頭控的天堂、IG網紅美食,凱帝,4.5,大安區,2019/03/21,1920,212,13,13人來過,6篇食記
第十九名,川夜宴無二火鍋樓。川巴子回來了、改良15種鍋底+15種小吃 吃到飽一人只要695元。讓人懷念的麻、香滋味。捷運行天宮站 文末附菜單,川夜宴無二火鍋樓,4.7,中山區,2019/03/17,1890,157,6,4人來過,3篇食記
第二十名,雞湯大叔|捷運行天宮美食推薦 罕見的雞湯火鍋 (分店 訂位 外帶 菜單),雞湯大叔,4.3,中山區,2019/03/15,4438,155,5,18人來過,9篇食記
