,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,公館美食推薦，把厭世情緒都留在這裡吧！用美食美酒療癒身心！厭世會社The Misanthrope Society,埔里知名鹹油條在台北開店囉！油條也能夾入料，立馬變身台式潛艇堡．普里鹹油條,WOO Taiwan 大直Att美食 泰國觀光局推薦為此生必去十大名店 網美聚餐 泰國宮廷風 花園餐廳,手工現包整顆蝦仁皮薄晶透，蒸餃與外省麵必吃!!亓家蒸餃,粱記雞肉飯．據說台北最好吃、怎麼吃都吃不膩的雞肉飯！,王品旗下 一鴨三吃不花大錢 桌邊片鴨秀 台北東區美食-享鴨-烤鴨與中華料理 含菜單！,濟善老麵 艋舺大道巷弄美食推薦，一碗雞湯拉麵吃進萬華人情風華,盈 豚骨カレー咖哩飯專門｜台北大安區｜從熬煮豚骨高湯開始製作的真咖哩,艋舺螺獅粉＿網路上好評不斷＿品嚐後絕對不會失望,北大行小籠包 信義區平價小吃推薦，原盅雞湯、上海點心非常好吃,東輝韓食館 馬鈴薯豬骨湯名店！食尚玩家推薦行天宮巷弄韓式料理,中山站美食 米滋崎-ㄉㄨㄞ到爆的楓糖布丁乳酪！童年回憶啊！　中山站甜點/台北伴手禮,南港無名牛排│低調隱藏版牛排，搬家後吃貨照樣追著跑！ 南港玉成街牛排、後山埤牛排,台北大安-秦家餅店-傳統北方烙餅，三代傳承的好味道 ,海鮮粥專賣店居然藏這味？！鮮蚵魯肉飯加半熟蛋，超邪惡爆棚美食．好吃食堂," 華嫂冰室台北店｜港星最愛茶餐廳強勢登台,台北東區試營運中(國父紀念館捷運站週邊)",燒肉吃到飽 馬太郎焼肉 中山站美食 啤酒暢飲 激推：純和牛漢堡排、厚切紐約客牛排、日本A5和牛 讀者免費贈送牛舌,東區凱帝蛋糕 食芋堂-芋頭泡芙、芋泥派、草莓泡芙｜東區芋頭甜點、芋頭控的天堂、IG網紅美食,川夜宴無二火鍋樓。川巴子回來了、改良15種鍋底+15種小吃 吃到飽一人只要695元。讓人懷念的麻、香滋味。捷運行天宮站 文末附菜單,雞湯大叔|捷運行天宮美食推薦 罕見的雞湯火鍋 (分店 訂位 外帶 菜單)
餐廳名稱,The Misanthrope Society 厭世會社,普里鹹油條 台北總部,WOO Taiwan,亓家蒸餃,梁記嘉義雞肉飯,享鴨 烤鴨與中華料理,濟善老麵,盈 豚骨カレ,柳州螺螄粉,北大行小籠包,東輝韓食館,米滋崎,無名牛排,秦家餅店,好吃食堂-海鮮粥專賣店,華嫂冰室,馬太郎燒肉,凱帝,川夜宴無二火鍋樓,雞湯大叔
評級,5,4.7,無紀錄,4.3,3.6,4.7,4.3,5,3.9,4.2,3.8,無紀錄,4.6,4.1,4.4,4,3.4,4.5,4.7,4.3
美食所在區域,中正區,中正區,中山區,松山區,中山區,大安區,萬華區,大安區,萬華區,信義區,中山區,中山區,南港區,大安區,松山區,大安區,中山區,大安區,中山區,中山區
產生日期,2019/03/21,2019/03/12,2019/03/01,2019/03/20,2019/03/02,2019/03/10,2019/03/11,2019/03/01,2019/03/08,2019/03/16,2019/03/09,2019/03/20,2019/03/12,2019/03/23,2019/03/29,2019/03/20,2019/03/10,2019/03/21,2019/03/17,2019/03/15
觀看人數,13861,4496,3767,4529,5210,4728,3209,3190,3299,3218,3316,2559,3340,4212,4611,3135,2639,1920,1890,4438
收藏人數,588,242,309,312,324,263,291,272,252,250,250,268,231,297,251,201,185,212,157,155
推薦人數,36,5,8,15,17,12,11,5,12,5,5,9,7,5,15,7,4,13,6,5
多少人來過,1人來過,7人來過,6人來過,57人來過,104人來過,16人來過,2人來過,4人來過,33人來過,1人來過,39人來過,無紀錄,1人來過,3人來過,5人來過,12人來過,24人來過,13人來過,4人來過,18人來過
多少篇食記,1篇食記,3篇食記,3篇食記,16篇食記,21篇食記,14篇食記,2篇食記,3篇食記,18篇食記,1篇食記,18篇食記,無紀錄,1篇食記,3篇食記,3篇食記,8篇食記,19篇食記,6篇食記,3篇食記,9篇食記
