,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,大阪爆紅的生吐司在台灣也吃得到囉！超濕潤的口感，吐司邊毫無存在感．Share le Pain 微酵烘焙,Share le Pain微酵烘焙 忠孝復興店,3.5,大安區,2019/05/20,3879,223,5,4人來過,3篇食記
第二名,IG火紅冰品，來自日本的膠原蛋白牛奶冰，吸睛又美味．大とろ牛乳Ootoromilk (台北店),Ootoro Milk 台北分舖,4.5,大安區,2019/05/12,2772,254,10,1人來過,1篇食記
第三名,終於吃到必吃九宮格！搬到市區超方便！人氣依舊滿滿超好拍「吾獨食驗室」（菜單）,吾獨食驗室 woodoofoodlab(東區總店),4.4,大安區,2019/05/14,4240,220,7,1人來過,1篇食記
第四名,台北中山:美天餐室 90年代舊香港茶餐廳，聽劉德華吃西多士、金山醬烤雞腿，再喝杯鴛鴦絲襪奶茶,美天餐室 DAY DAY,4.6,中山區,2019/05/20,2706,250,4,2人來過,2篇食記
第五名,王品集團最新品牌！懷舊料理說歷史，經典台菜大集合！丰禾日麗台式小館,丰禾日麗 台北南京東店,4.7,中山區,2019/05/01,3248,166,9,13人來過,8篇食記
第六名,小巷內的懷舊日本味，老爺爺的溫馨大阪燒！紅葉日式愛好燒,紅葉日式愛好燒,4.2,中正區,2019/05/07,3092,196,11,31人來過,12篇食記
第七名,浮誇又霸氣的料理/超平價無菜單竟然有鮮甜海膽 「東街日本料理」南京復興站/高cp值無菜單料理/生魚片/牛小排/石斑/比目魚/大明蝦/附菜單,東街日本料理,4.2,中山區,2019/05/03,2541,151,11,29人來過,22篇食記
第八名,IKEA新店店｜玻璃屋景觀餐廳、IKEA CAFÉ、挑高設計商場、與捷運相連，新店最美的IKEA誕生！,宜家國際室內裝修有限公司,無紀錄,新店區,2019/05/11,2889,59,8,1人來過,1篇食記
第九名,台北信義市府美食:HI5 Cafe好吃夏威夷蝦飯、家常料理，不限時咖啡館、推薦聊天聚餐開會,Hi5 Cafe,4.5,信義區,2019/05/04,2199,154,3,3人來過,2篇食記
第十名,好食多涮涮屋南西店新開幕，超大肉盤始祖、開幕優惠活龍蝦一隻僅 $300超划算😍 (文末菜單),好食多涮涮屋 南西店,5,中山區,2019/05/22,1702,107,7,3人來過,3篇食記
第十一名,"雞窩餐廳-人少也能吃驥園砂鍋土雞湯,台北信義安和站中式聚餐推薦",雞窩餐廳,4.2,大安區,2019/05/15,1624,139,5,35人來過,13篇食記
第十二名,西門麵店．捷運西門町站｜西門町網紅麵店．蛋包滷肉飯大推．極脆涼麵檸檬香！,西門麵店,4,萬華區,2019/05/07,1891,154,2,40人來過,23篇食記
第十三名,BFF Gossip Brunch-台北公館網美最愛餐廳，姊妹聚會最佳選擇,#BFF Gossip Brunch 早午餐,4.1,中正區,2019/05/01,1913,142,7,6人來過,4篇食記
第十四名,川畝園麵食館 平價好吃選擇多！推薦炒飯、牛肉捲餅、小籠湯包,川畝園麵食館,4.2,大同區,2019/05/09,2310,134,8,6人來過,3篇食記
第十五名,胖肚肚平價燒烤吃到飽，肋眼、天使紅蝦是哪招？,胖肚肚燒肉吃到飽,4.4,松山區,2019/05/09,2258,115,6,14人來過,5篇食記
第十六名,爆漿芋泥肉鬆起酥麵包，超ㄉㄨㄞ的芋頭水晶蛋糕，厚實的芋泥餡難以招架．土司吐司烘焙坊,ToasToast 土司吐司,3.9,中正區,2019/05/16,2418,126,7,103人來過,11篇食記
第十七名,道地日本濃厚味三上咖哩超人氣咖哩飯炸雞啤酒日等你來挑戰,三上咖哩,4.3,大安區,2019/05/07,1707,137,4,22人來過,19篇食記
第十八名,冠捷黃金脆皮肉圓│饒河夜市少人知道的脆皮肉圓，吃脆皮肉圓不用跑彰化啦！ 饒河夜市美食、台北脆皮肉圓,冠捷黃金脆皮肉圓,4.1,松山區,2019/05/06,1714,135,4,5人來過,3篇食記
第十九名,"啾哇嘿喲 좋아해요 ｜來自韓文""喜歡你""｜忠孝復興韓式烤肉推薦、超狂韓式烤肉吃到飽，台北必吃韓國料理!",啾哇嘿喲 韓式烤肉專門店,4,松山區,2019/05/06,1505,95,2,55人來過,34篇食記
第二十名,台北Sweet Josun 誠品南西店｜一個人的韓式炸雞這裡吃(韓國品牌炸雞速食店),SWEET JOSUN-誠品南西店,3,中山區,2019/05/14,1898,125,3,3人來過,2篇食記
