,第一名,第二名,第三名,第四名,第五名,第六名,第七名,第八名,第九名,第十名,第十一名,第十二名,第十三名,第十四名,第十五名,第十六名,第十七名,第十八名,第十九名,第二十名
標題,余文樂從小吃到大！香港來的超人氣美食～開幕每天都大排長龍不吃不行的「華嫂冰室」（菜單）｜Fattie & Chubbie,普里鹹油條，來自埔里的特色早餐，僅販售早餐、消夜時段,烏石水產火鍋超市(烤)-金鋒滷肉飯、咖哩飯吃到飽！小蒙牛餐飲集團新推出！低消 $250 換湯頭也可抵！內有幾家超市火鍋小比較,東區炸雞-ZAC ZAG 一楽炸雞.特製濕醬.招牌醬蒜雞、麻辣雞.大安炸雞.聚會約會速食餐廳.近信義安和捷運站、世貿101捷運,N 訪健康與美味兼顧 吃一口就愛上ㄟ高 CP 值澳式風情咖啡館 - Caffe' Rue 路口咖啡｜芝山站,必吃隱藏版甜點，高CP無低消不限時韓式裱花蛋糕!!花甜居烘焙,食鮮日式火鍋 399吃到飽免服務費平價火鍋,台北美食食芋堂-凱帝蛋糕｜芋頭控絕對不能錯過的東區美食,日賣400份爆料手作吐司 EVERYDAY CAFE - toast.coffee.tea 永和必吃早午餐 頂溪站排隊美食 外帶早餐,大理石、粉紅網美牆！公館新開幕給你浮誇視覺系義大利麵～平價就能擁有的高CP值美食「BFF」｜Fattie & Chubbie,必比登推介美食 阿城鵝肉 鵝肉切盤 鵝油拌飯 辣拌乾意麵 鵝腳 清蒸麻辣臭豆腐 內有菜單,好神燒肉-goodgodyakiniku和牛吃到飽/火烤兩吃,中原素麵食，美食家胡天蘭推薦的素食手工麵店，一天只賣2.5小時｜附中原素麵店營業時間,科技大樓美食推薦|阿英羊肉羹 一試成主顧 阿英海產粥另一力作 (菜單),賣麵炎仔(金泉小吃店)│米其林必比登推介的人氣紅燒肉，拼著排隊也要吃！ 台北炸燒肉、紅燒肉推薦,三味糖餅 sammat 삼맛호떡 -- 師大夜市韓國甜食小吃，Q軟香甜的糖餅。,新品牌蔥月:微風北車牛肉麵 小籠包 陝西酸辣油潑麵，超直白分享,星馬廚房 -- 平價大馬傳統家鄉味料理，鮮嫩美味的海南雞和燒雞腿。,南京三民美食推薦|周家鮮肉餛飩 好吃又大份量 台北餛飩推薦 (菜單menu價錢),Soba Shinn & 柑橘 雞白湯柑橘蛤蜊拉麵！好吃的不只油拌麵
餐廳名稱,華嫂冰室,普里鹹油條 台北總部,烏石水產火鍋超市(烤)-三創店,ZAC ZAG 一楽炸雞,Caffe’ Rue 路口加啡,花甜居烘焙,食鮮日式火鍋,凱帝,EVERYDAY CAFE肉蛋吐司,#BFF Gossip Brunch 早午餐,阿城鵝肉,好神燒肉,中原麵店,阿英羊肉羹,賣麵炎仔,三味糖餅 sammat 삼맛호떡,蔥月,海南佬星馬廚房,周家鮮肉餛飩,Aburasoba SHIN
評級,4,4.7,5,4.4,4.8,4.9,3.4,4.5,4.4,4.1,4.3,4.6,4.4,無紀錄,4.3,4.3,無紀錄,4.3,4,4.5
美食所在區域,大安區,中正區,中山區,大安區,士林區,中正區,中山區,大安區,永和區,中正區,中山區,中正區,中正區,大安區,大同區,大安區,中正區,板橋區,松山區,大安區
產生日期,2019/04/04,2019/04/03,2019/04/05,2019/03/31,2019/04/01,2019/04/05,2019/04/02,2019/04/02,2019/04/02,2019/04/05,2019/04/03,2019/03/30,2019/03/30,2019/04/01,2019/04/04,2019/04/04,2019/04/02,2019/03/31,2019/03/30,2019/04/02
觀看人數,5075,3040,5402,1501,2310,2242,1921,1525,1672,1453,1971,1917,1853,1331,1933,1056,1143,1163,986,1240
收藏人數,246,209,192,116,161,194,113,130,84,121,117,114,80,99,87,104,71,64,77,89
推薦人數,6,8,8,6,7,6,4,5,1,7,9,3,3,3,5,3,4,4,4,4
多少人來過,12人來過,8人來過,3人來過,6人來過,8人來過,1人來過,10人來過,13人來過,6人來過,4人來過,19人來過,4人來過,17人來過,無紀錄,37人來過,5人來過,1人來過,6人來過,16人來過,25人來過
多少篇食記,8篇食記,3篇食記,2篇食記,5篇食記,5篇食記,1篇食記,6篇食記,6篇食記,3篇食記,3篇食記,9篇食記,4篇食記,4篇食記,無紀錄,22篇食記,3篇食記,1篇食記,4篇食記,7篇食記,12篇食記
