,標題,餐廳名稱,評級,美食所在區域,產生日期,觀看人數,收藏人數,推薦人數,多少人來過,多少篇食記
第一名,小巷內的懷舊日本味，老爺爺的溫馨大阪燒！紅葉日式愛好燒,紅葉日式愛好燒,4.2,中正區,2019/05/07,1539,106,5,28人來過,10篇食記
第二名,台北信義市府美食:HI5 Cafe好吃夏威夷蝦飯、家常料理，不限時咖啡館、推薦聊天聚餐開會,Hi5 Cafe,4.6,信義區,2019/05/04,1379,99,4,2人來過,2篇食記
第三名,冠捷黃金脆皮肉圓│饒河夜市少人知道的脆皮肉圓，吃脆皮肉圓不用跑彰化啦！ 饒河夜市美食、台北脆皮肉圓,冠捷黃金脆皮肉圓,4,松山區,2019/05/06,1046,82,0,5人來過,3篇食記
第四名,西門麵店．捷運西門町站｜西門町網紅麵店．蛋包滷肉飯大推．極脆涼麵檸檬香！,西門麵店,4,萬華區,2019/05/07,1034,83,2,39人來過,22篇食記
第五名,川畝園麵食館 平價好吃選擇多！推薦炒飯、牛肉捲餅、小籠湯包,川畝園麵食館,4.2,大同區,2019/05/09,1331,73,3,6人來過,3篇食記
第六名,"啾哇嘿喲 좋아해요 ｜來自韓文""喜歡你""｜忠孝復興韓式烤肉推薦、超狂韓式烤肉吃到飽，台北必吃韓國料理!",啾哇嘿喲,3.9,松山區,2019/05/06,813,50,1,45人來過,27篇食記
第七名,台北第一間～好吃的越南料理！清新店面有冷氣，越南王三重店,越南王三重店,無紀錄,三重區,2019/05/05,1513,51,4,1人來過,1篇食記
第八名,"延吉街消失十年的人氣麻辣鍋，重現八德路囉！辣上癮極品麻辣鴛鴦鍋,每人鍋底120元,鴨血豆腐無限吃到飽！台北八德路火鍋推薦,",辣上癮 極品麻辣鴛鴦火鍋,4.7,松山區,2019/05/05,1176,60,0,13人來過,7篇食記
第九名,道地日本濃厚味三上咖哩超人氣咖哩飯炸雞啤酒日等你來挑戰,三上咖哩,4.3,大安區,2019/05/07,850,75,2,22人來過,19篇食記
第十名,胖肚肚平價燒烤吃到飽，肋眼、天使紅蝦是哪招？,胖肚肚燒肉吃到飽,4.4,松山區,2019/05/09,1177,52,5,12人來過,5篇食記
第十一名,包好吃碳烤鹽酥雞，姊妹聚會必點的美食,碳烤包好吃,3.5,中山區,2019/05/10,1738,47,3,15人來過,4篇食記
第十二名,化妝台座位太可愛～咖啡館還有賣辣牛奶泡菜起司鍋和手工水餃！招金GABi,招金GABi,4.8,永和區,2019/05/08,1264,55,1,2人來過,2篇食記
第十三名,金穗坊西餐廳 – 慶泰大飯店│semi buffet CP值超高│螃蟹生魚片吃到飽,金穗坊西餐廳 - 慶泰大飯店,3.5,中山區,2019/05/07,778,39,0,1人來過,1篇食記
第十四名,Out of office 不在辦公室 | 250坪超大咖啡廳！東區下午茶推薦,Out of office 不在辦公室,4.7,信義區,2019/05/06,733,58,3,15人來過,11篇食記
第十五名,超人氣爆漿肉鬆芋泥吐司，滿樂鐵板吐司|台北必吃早餐,滿樂鐵板吐司,3.5,中正區,2019/05/06,817,50,1,12人來過,9篇食記
第十六名,合點壽司がってん寿司｜捷運西湖站高人氣迴轉壽司,合點壽司內湖店,4,內湖區,2019/05/04,999,56,2,11人來過,9篇食記
第十七名,隱身公館商圈巷弄中狂掃IG版面的超人氣爆漿泡芙，邪惡爆棚甜點．人性空間泡芙,人性空間泡芙,無紀錄,中正區,2019/05/10,711,59,1,無紀錄,無紀錄
第十八名,燒肉like 一個人吃燒烤也沒問題！燒肉like來自東京的人氣名店在台北京站,焼肉ライク 燒肉LIKE,無紀錄,大同區,2019/05/06,903,46,6,9人來過,7篇食記
第十九名,【萬華龍山寺美食】賴桑透抽蚵仔麵線 魔霸特餐七種好料一次滿足！便宜又大碗,賴桑透抽蚵仔麵線,無紀錄,萬華區,2019/05/10,668,50,4,無紀錄,無紀錄
第二十名,百元美食特輯又來了！花少少錢就能吃到滿滿份量的高cp值日式料理!價錢平實但壽司表現一級棒!!,千壽司平價日本料理,3.6,永和區,2019/05/04,1375,40,4,9人來過,5篇食記
